YEAR,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Exports,403,469,560,610,674,689.1,716.1,717.9,739.1,721.5,660.7,348,393.5,360.9,353.2,473.3,423,568.5,462,454.2,535.8,521,524,615.9,869.7,1065,1542.8,1889,2539.3,1902.6,2899.2,4817.5,4384.7,4272.7,5774.6,4669.3,4916.3,6200.6,7011.8,7619.8
Imports,547.8,703.7,790.8,928.1,975.2,1095.5,1839.7,1104.6,1113.6,963,924,360.9,418.4,386.4,258,415.3,438.5,468.3,503.3,512.8,614.5,638,690.7,801,1021.1,1184.3,1485.6,2117.3,3615.8,2131.3,3278,6598.4,6738.4,6354.7,5236.6,3797.5,3358.1,4337.3,5875,6127.4
