ADM2_EN,ADM2_MN,ADM2_PCODE,ADM1_EN,ADM1_MN,ADM1_PCODE,date,validOn,POINT_X,POINT_Y
Xerlen,Хэрлэн,MN2301,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,110.7412024,47.6409102
Xishig-O'ndor,Хишиг-өндөр,MN6343,Bulgan,Булган,MN63,12/1/2016,10/19/2020,103.5100732,48.20362319
Xo'lonbuir,Хөлөнбуйр,MN2131,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,113.0389675,47.87226349
Xo'vsgol,Хөвсгөл,MN4437,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,109.9014804,43.44678618
Xo'xmorit,Хөхморьт,MN8237,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,94.37441659,47.42789352
Xongor,Хонгор,MN4507,Darkhan-Uul,Дархан-Уул,MN45,12/1/2016,10/19/2020,106.3298653,49.37127731
Xotont,Хотонт,MN6540,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,102.3966467,47.26015939
Xovd,Ховд,MN8440,Khovd,Ховд,MN84,12/1/2016,10/19/2020,91.31680222,48.09810421
Xovd,Ховд,MN8549,Uvs,Увс,MN85,12/1/2016,10/19/2020,91.05662935,49.40603276
Xu'der,Хүдэр,MN4340,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,107.5950146,49.73409428
Xu'reemaral,Хүрээмарал,MN6452,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,98.32245667,46.47887378
Xu'rmen,Хүрмэн,MN4637,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,103.82962,42.52902232
Xujirt,Хужирт,MN6255,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,102.8032582,46.85880617
Xuld,Хулд,MN4837,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,105.5014678,45.11178197
Xushaat,Хушаат,MN4343,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,105.6465292,49.70884274
Xutag-O'ndor,Хутаг-Өндөр,MN6346,Bulgan,Булган,MN63,12/1/2016,10/19/2020,102.9293762,49.38702296
Xyargas,Хяргас,MN8552,Uvs,Увс,MN85,12/1/2016,10/19/2020,93.84437583,49.53990754
Yaruu,Яруу,MN8170,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,96.68430138,48.25662981
Yero'o,Ерөө,MN4313,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,107.5257488,49.25145516
Yeso'nbulag,Есөнбулаг,MN8201,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,96.08443928,46.28478877
Yeso'nzu'il,Есөн зүйл,MN6225,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,103.7098439,46.60905868
Zaamar,Заамар,MN4152,To'v,Төв,MN41,12/1/2016,10/19/2020,104.6994563,48.2575841
Zag,Заг,MN6446,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,99.15827942,46.89497554
Zamyn U'ud,Замын-Үүд,MN4416,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,111.8314464,43.80072764
Zavxan,Завхан,MN8513,Uvs,Увс,MN85,12/1/2016,10/19/2020,93.20575102,48.90642919
Zavxanmandal,Завханмандал,MN8119,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,94.8984998,48.15651373
Zereg,Зэрэг,MN8422,Khovd,Ховд,MN84,12/1/2016,10/19/2020,92.85192955,47.12808108
Zu'unbayan-Ulaan,Зүүнбаян-Улаан,MN6228,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,102.8254051,46.57998982
Zu'unburen,Зүүнбүрэн,MN4319,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,105.9313777,49.9600521
Zu'ungovi,Зүүнговь,MN8516,Uvs,Увс,MN85,12/1/2016,10/19/2020,93.99085366,50.07972287
Zu'unxangai,Зүүнхангай,MN8519,Uvs,Увс,MN85,12/1/2016,10/19/2020,95.35362726,49.26225146
Zuunmod,Зуунмод,MN4101,To'v,Төв,MN41,12/1/2016,10/19/2020,106.9447303,47.70210221
