ADM2_EN,ADM2_MN,ADM2_PCODE,ADM1_EN,ADM1_MN,ADM1_PCODE,date,validOn,POINT_X,POINT_Y
Darxan,Дархан,MN2331,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,109.4785621,46.53556203
Darxan,Дархан,MN4501,Darkhan-Uul,Дархан-Уул,MN45,12/1/2016,10/19/2020,105.952531,49.47264096
Dashbalbar,Дашбалбар,MN2119,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,114.2282884,49.6699428
Dashinchilen,Дашинчилэн,MN6319,Bulgan,Булган,MN63,12/1/2016,10/19/2020,104.1024851,47.78850641
Davst,Давст,MN8510,Uvs,Увс,MN85,12/1/2016,10/19/2020,92.62423822,50.43352736
Delger,Дэлгэр,MN8219,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,97.52162931,46.19075987
Delgercogt,Дэлгэрцогт,MN4819,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,106.2497962,46.27133676
Delgerex,Дэлгэрэх,MN4413,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,111.3047397,45.81072975
Delgerxaan,Дэлгэрхаан,MN2334,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,108.9656099,47.27574012
Delgerxaan,Дэлгэрхаан,MN4146,To'v,Төв,MN41,12/1/2016,10/19/2020,104.6067287,46.69230737
Delgerxangai,Дэлгэрхангай,MN4816,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,104.6637026,45.12167513
Delu'un,Дэлүүн,MN8322,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,90.62290096,47.78520609
Deren,Дэрэн,MN4822,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,106.8003478,46.23965117
Do'rgon,Дөргөн,MN8416,Khovd,Ховд,MN84,12/1/2016,10/19/2020,92.87326431,48.31627501
Do'rvoljin,Дөрвөлжин,MN8116,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,94.09560004,47.96925726
Duut,Дуут,MN8419,Khovd,Ховд,MN84,12/1/2016,10/19/2020,91.48434005,47.50551294
Erdene,Эрдэнэ,MN4176,To'v,Төв,MN41,12/1/2016,10/19/2020,107.7443153,48.31819762
Erdene,Эрдэнэ,MN4440,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,111.1383429,44.22201165
Erdene,Эрдэнэ,MN8252,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,97.44309851,44.00555966
Erdenebu'ren,Эрдэнэбүрэн,MN8449,Khovd,Ховд,MN84,12/1/2016,10/19/2020,91.19559102,48.46213255
Erdenebulgan,Эрдэнэбулган,MN6501,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,101.4605674,47.48673699
Erdenebulgan,Эрдэнэбулган,MN6767,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,101.8444907,50.21052364
Erdenecagaan,Эрдэнэцагаан,MN2237,Sukhbaatar,Сүхбаатар,MN22,12/1/2016,10/19/2020,115.435097,46.04025659
Erdenecogt,Эрдэнэцогт,MN6458,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,101.0227743,46.54865886
Erdenedalai,Эрдэнэдалай,MN4843,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,104.9562979,46.03806286
Erdenemandal,Эрдэнэмандал,MN6555,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,101.4504831,48.3896211
Erdenesant,Эрдэнэсант,MN4179,To'v,Төв,MN41,12/1/2016,10/19/2020,104.4766532,47.27837879
Erdenexairxan,Эрдэнэхайрхан,MN8167,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,95.79456049,48.16003336
Galshir,Галшар,MN2325,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,110.7973349,46.55461056
Galt,Галт,MN6716,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,100.0556026,48.76749155
Galuut,Галуут,MN6434,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,100.1265666,46.75192523
Govi-Ugtaal,Говь-Угтаал,MN4810,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,107.4664035,46.01367556
Guchin-Us,Гучин-Ус,MN6222,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,102.3952087,45.27445165
Gurvanbulag,Гурван булаг,MN6316,Bulgan,Булган,MN63,12/1/2016,10/19/2020,103.4227678,47.761165
Gurvanbulag,Гурванбулаг,MN6437,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,98.60260004,47.27940534
Gurvansaixan,Гурвансайхан,MN4813,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,107.1162127,45.52274386
Gurvantes,Гурвантэс,MN4613,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,100.6628171,43.29372455
Gurvanzagal,Гурванзагал,MN2116,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,114.9350224,49.15475222
Herlen,Хэрлэн,MN2101,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,114.5738567,48.06737586
Ider,Идэр,MN8122,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,97.55649309,48.18018025
Ix-Uul,Их-Уул,MN6722,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,101.4774256,49.53498356
Ix-Uul,Их-Уул,MN8125,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,98.83298988,48.66794114
Ix xet,Иххэт,MN4419,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,110.15824,46.11690264
Ixtamir,Их тамир,MN6513,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,100.9628963,47.55945885
Jargalan,Жаргалан,MN8222,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,95.88149885,47.07411178
Jargalant,Жаргалант,MN4149,To'v,Төв,MN41,12/1/2016,10/19/2020,105.7903658,48.57613867
Jargalant,Жаргалант,MN6104,Orkhon,Орхон,MN61,12/1/2016,10/19/2020,104.3882745,49.03847032
Jargalant,Жаргалант,MN6440,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,99.52311212,47.20327227
Jargalant,Жаргалант,MN6510,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,100.7316113,48.66097715
Jargalant,Жаргалант,MN6719,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,99.39608816,48.54584998
Jargalant,Жаргалант,MN8401,Khovd,Ховд,MN84,12/1/2016,10/19/2020,91.64362784,48.00656585
Jargaltxaan,Жаргалтхаан,MN2337,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,109.5134721,47.48224974
Javxlant,Жавхлант,MN4316,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,106.3591412,49.74310364
Jinst,Жинст,MN6443,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,100.297563,45.4092222
Lu'n,Лүн,MN4155,To'v,Төв,MN41,12/1/2016,10/19/2020,105.1567995,47.78008504
Luus,Луус,MN4825,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,105.7876414,45.59014714
Malchin,Малчин,MN8522,Uvs,Увс,MN85,12/1/2016,10/19/2020,93.2168487,49.70472995
Mandal,Мандал,MN4322,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,106.9682979,48.82750913
Mandal-Ovoo,Мандал-Овоо,MN4616,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,104.0039984,44.68314101
Mandax,Мандах,MN4422,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,108.3759575,44.1726484
Manlai,Манлай,MN4619,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,107.1288372,43.94710501
Manxan,Манхан,MN8425,Khovd,Ховд,MN84,12/1/2016,10/19/2020,92.26637246,47.38837341
Matad,Матад,MN2122,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,115.8956817,47.12743605
Mo'ngonmorit,Мөнгөнморьт,MN4158,To'v,Төв,MN41,12/1/2016,10/19/2020,108.5542758,48.53591383
Mo'nxxaan,Мөнххаан,MN2213,Sukhbaatar,Сүхбаатар,MN22,12/1/2016,10/19/2020,111.8331718,47.08095806
Mo'nxxairxan,Мөнххайрхан,MN8428,Khovd,Ховд,MN84,12/1/2016,10/19/2020,91.79219505,47.01998992
Mo'ron,Мөрөн,MN2340,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,110.2419247,47.3028428
Mo'ron,Мөрөн,MN6701,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,100.1478933,49.64061182
Mo'st,Мөст,MN8431,Khovd,Ховд,MN84,12/1/2016,10/19/2020,92.59253442,46.70496214
Mogod,Могод,MN6322,Bulgan,Булган,MN63,12/1/2016,10/19/2020,102.9271556,48.28194874
Myangad,Мянгад,MN8434,Khovd,Ховд,MN84,12/1/2016,10/19/2020,91.90467239,48.5634236
Nalaix,Налайх,MN1113,Ulaanbaatar,Улаанбаатар,MN11,12/1/2016,10/19/2020,107.4204528,47.81325444
Naran,Наран,MN2216,Sukhbaatar,Сүхбаатар,MN22,12/1/2016,10/19/2020,113.5977951,45.04128685
Naranbulag,Наранбулаг,MN8525,Uvs,Увс,MN85,12/1/2016,10/19/2020,92.52149176,49.53069923
Nariinteel,Нарийнтээл,MN6231,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,101.5420925,45.84486021
No'mrog,Нөмрөг,MN8128,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,96.98077894,48.86982589
Nogoonnuur,Ногооннуур,MN8325,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,89.99330323,49.51735983
Nomgon,Номгон,MN4625,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,105.0117677,42.41042737
Norovlin,Норовлин,MN2343,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,112.0743921,48.53713765
Noyon,Ноён,MN4622,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,102.3726646,42.7771286
O'giinuur,Өгийнуур,MN6516,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,102.6098519,47.72108822
O'lgii,Өлгий,MN8301,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,89.95786333,48.97887937
O'lgii,Өлгий,MN8528,Uvs,Увс,MN85,12/1/2016,10/19/2020,92.22234815,48.92417995
O'lziit,Өлзийт,MN4828,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,106.6971659,44.79186424
O'lziit,Өлзийт,MN6234,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,103.3992659,46.49727967
O'lziit,Өлзийт,MN6449,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,101.0021877,45.97268634
O'lziit,Өлзийт,MN6519,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,102.5105996,48.08471547
O'mnodelger,Өмнөдэлгэр,MN2346,Hentii,Хэнтий,MN23,12/1/2016,10/19/2020,109.5276966,48.17563037
O'mnogovi,Өмнөгөвь,MN8531,Uvs,Увс,MN85,12/1/2016,10/19/2020,91.61203114,49.12082698
O'ndor-Ulaan,Өндөр-Улаан,MN6522,Arxangai,Архангай,MN65,12/1/2016,10/19/2020,100.7209238,48.0482128
O'ndorshil,Өндөршил,MN4831,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,108.1687245,45.23284259
O'ndorshireet,Өндөрширээт,MN4161,To'v,Төв,MN41,12/1/2016,10/19/2020,105.0215593,47.44041415
O'ndorxangai,Өндөрхангай,MN8534,Uvs,Увс,MN85,12/1/2016,10/19/2020,94.84679257,49.14803855
O'rgon,Өргөн,MN4425,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,111.1257106,45.0449525
Ongon,Онгон,MN2219,Sukhbaatar,Сүхбаатар,MN22,12/1/2016,10/19/2020,113.042679,45.39284662
Orxon,Орхон,MN4325,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,105.4918857,49.01157498
Orxon,Орхон,MN4504,Darkhan-Uul,Дархан-Уул,MN45,12/1/2016,10/19/2020,105.9313192,49.62447872
Orxon,Орхон,MN6325,Bulgan,Булган,MN63,12/1/2016,10/19/2020,103.7311039,48.74276907
Orxontuul,Орхонтуул,MN4328,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,105.0032246,48.78690352
Otgon,Отгон,MN8131,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,97.88567925,47.56112502
Rashaant,Рашаант,MN6328,Bulgan,Булган,MN63,12/1/2016,10/19/2020,103.8824027,47.40749746
Rashaant,Рашаант,MN6725,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,101.2705597,49.18053317
Renchinlxu'mbe,Рэнчинлхүмбэ,MN6728,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,99.72962811,51.18448104
Sagil,Сагил,MN8537,Uvs,Увс,MN85,12/1/2016,10/19/2020,91.27191821,50.28520898
Sagsai,Сагсай,MN8328,Bayan-Olgii,Баян-Өлгий,MN83,12/1/2016,10/19/2020,88.94635643,48.29325558
Sainshand,Сайншанд,MN4401,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,109.938962,44.60777694
Saintsagaan,Сайнцагаан,MN4801,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,106.2893498,45.76850389
Saixan,Сайхан,MN4331,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,105.7185531,49.31442079
Saixan,Сайхан,MN6331,Bulgan,Булган,MN63,12/1/2016,10/19/2020,102.5382604,48.66345578
Saixan-Ovoo,Сайхан-Овоо,MN4834,Dundgovi,Дундговь,MN48,12/1/2016,10/19/2020,104.0944496,45.55317426
Saixandulaan,Сайхандулаан,MN4428,Dornogovi,Дорноговь,MN44,12/1/2016,10/19/2020,109.2351228,44.83851033
Sant,Сант,MN4334,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,105.3404877,49.38686655
Sant,Сант,MN6237,Ovorkhangai,Өвөрхангай,MN62,12/1/2016,10/19/2020,103.8310384,46.02265164
Santmargac,Сантмаргац,MN8134,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,95.1407692,48.57840348
Selenge,Сэлэнгэ,MN6334,Bulgan,Булган,MN63,12/1/2016,10/19/2020,104.1741168,49.71182118
Sergelen,Сэргэлэн,MN2125,Dornod,Дорнод,MN21,12/1/2016,10/19/2020,114.1075039,48.63554875
Sergelen,Сэргэлэн,MN4167,To'v,Төв,MN41,12/1/2016,10/19/2020,107.0189648,47.41541194
Sevrei,Сэврэй,MN4628,Omnogovi,Өмнөговь,MN46,12/1/2016,10/19/2020,102.3998644,43.77122256
Shaamar,Шаамар,MN4349,Selenge,Сэлэнгэ,MN43,12/1/2016,10/19/2020,106.2432638,50.04116594
Sharga,Шарга,MN8249,Govi-Altai,Говь-Алтай,MN82,12/1/2016,10/19/2020,95.26593565,46.4838659
Sharyngol,Шарын гол,MN4510,Darkhan-Uul,Дархан-Уул,MN45,12/1/2016,10/19/2020,106.4610251,49.22894428
Shilu'ustei,Шилүүстэй,MN8164,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,97.1947725,46.93257609
Shine-Ider,Шинэ-Идэр,MN6764,Khovsgol,Хөвсгөл,MN67,12/1/2016,10/19/2020,99.51252419,49.03569853
Shinejinst,Шинэжинст,MN6455,Bayankhongor,Баянхонгор,MN64,12/1/2016,10/19/2020,99.20034743,43.69393219
Shiveegovi,Шивээговь,MN4207,Govisumber,Говьсүмбэр,MN42,12/1/2016,10/19/2020,108.5163078,46.06056171
Songino,Сонгино,MN8137,Zavkhan,Завхан,MN81,12/1/2016,10/19/2020,95.84204611,48.98838165
Songinoxairxan,Сонгинохайрхан,MN1116,Ulaanbaatar,Улаанбаатар,MN11,12/1/2016,10/19/2020,106.6438734,48.06867605
Su'mber,Сүмбэр,MN4164,To'v,Төв,MN41,12/1/2016,10/19/2020,105.8417683,48.83510374
Su'mber,Сүмбэр,MN4201,Govisumber,Говьсүмбэр,MN42,12/1/2016,10/19/2020,108.6503863,46.51071517
Su'xbaatar,Сүхбаатар,MN1119,Ulaanbaatar,Улаанбаатар,MN11,12/1/2016,10/19/2020,106.9506476,48.07974223
